Object,Confidence
car,0.839701235294342
bus,0.8353492617607117
person,0.8046510815620422
car,0.8042660355567932
person,0.7886025309562683
car,0.7582086324691772
car,0.7112728953361511
car,0.7009046077728271
person,0.7004563808441162
person,0.6856334209442139
person,0.6838654279708862
car,0.6800553798675537
motorcycle,0.6194045543670654
car,0.6092760562896729
bus,0.5754190683364868
car,0.5685201287269592
car,0.5449780821800232
truck,0.5243085622787476
car,0.5031666159629822
car,0.4900239408016205
person,0.48750898241996765
car,0.4815812110900879
motorcycle,0.44507962465286255
person,0.4399888813495636
truck,0.41629230976104736
person,0.41451504826545715
truck,0.34839028120040894
truck,0.33696186542510986
truck,0.33529132604599
car,0.33014124631881714
car,0.3293110430240631
car,0.29680150747299194
person,0.27746760845184326
truck,0.2753814160823822
car,0.27429792284965515
person,0.2687780559062958
bicycle,0.2651207447052002
car,0.2637864053249359
person,0.26273494958877563
person,0.2618292272090912
person,0.2599625587463379
